"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CERCW","Cerecor Inc.","0.75","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cercw",
"CERN","Cerner Corporation","62.37","$20.74B","1986","Technology","EDP Services","https://www.nasdaq.com/symbol/cern",
"CERS","Cerus Corporation","4.32","$499.2M","1997","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/cers",
"KOOL","Cesca Therapeutics Inc.","2.85","$30.96M","n/a","Capital Goods","Medical Specialities","https://www.nasdaq.com/symbol/kool",
"CEVA","CEVA, Inc.","36.4","$799.89M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/ceva",
"CSBR","Champions Oncology, Inc.","3.391","$37.26M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/csbr",
"CYOU","Changyou.com Limited","28.23","$1.48B","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"BURG","Chanticleer Holdings, Inc.","3.79","$11.47M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/burg",
"CTHR","Charles & Colvard Ltd.","1.36","$29.37M","1997","Consumer Durables","Consumer Specialties","https://www.nasdaq.com/symbol/cthr",
"GTLS","Chart Industries, Inc.","55.92","$1.73B","2006","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gtls",
"CHTR","Charter Communications, Inc.","339.41","$80.95B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/chtr",
"CHFN","Charter Financial Corp.","19.89","$300.98M","2010","Finance","Savings Institutions","https://www.nasdaq.com/symbol/chfn",
"CHKP","Check Point Software Technologies Ltd.","102.58","$17.03B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CHEK","Check-Cap Ltd.","0.6699","$12.91M","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chek",
"CHEKW","Check-Cap Ltd.","0.21","n/a","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekw",
"CKPT","Checkpoint Therapeutics, Inc.","4.21","$107.39M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ckpt",
"CEMI","Chembio Diagnostics, Inc.","7.45","$105.61M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cemi",
"CHFC","Chemical Financial Corporation","54.94","$3.92B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chfc",
"CCXI","ChemoCentryx, Inc.","9.82","$478.89M","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ccxi",
"CHMG","Chemung Financial Corp","42.65","$205.45M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/chmg",
"CHKE","Cherokee Inc.","1.55","$21.62M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/chke",
"CHFS","CHF Solutions, Inc.","3.11","$5.59M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/chfs",
"CHMA","Chiasma, Inc.","1.55","$37.79M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/chma",
"CSSE","Chicken Soup for the Soul Entertainment, Inc.","7.79","$90.4M","2017","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/csse",
"PLCE","Children&#39;s Place, Inc. (The)","140.45","$2.44B","1997","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/plce",
"CMRX","Chimerix, Inc.","4.89","$230.45M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmrx",
"CADC","China Advanced Construction Materials Group, Inc.","3.15","$7.52M","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","3.36","$16.26M","n/a","Consumer Services","Motor Vehicles","https://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","4.52","$143.03M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
